,cluster_dbscan
1.10.209.197,0
1.160.97.51,0
1.162.30.190,0
1.168.28.155,0
1.168.67.215,0
1.168.93.146,0
1.172.177.131,0
1.172.177.76,0
1.194.20.6,0
1.4.130.157,0
1.4.237.246,0
1.53.43.90,0
1.54.229.218,0
1.55.177.219,0
1.55.182.92,0
100.32.201.162,0
100.43.90.110,0
100.43.91.115,0
101.109.250.146,0
101.204.228.38,0
101.228.49.102,0
101.28.95.228,0
101.51.43.156,0
101.99.15.115,0
103.103.121.218,0
103.104.34.10,0
103.11.97.252,0
103.199.161.11,0
103.209.1.35,0
103.231.189.232,0
103.242.110.18,0
103.244.1.54,0
103.245.33.102,0
103.247.50.139,0
103.249.240.61,0
103.252.27.0,0
103.253.42.37,0
103.255.45.25,0
103.255.7.11,0
103.26.185.240,0
103.30.141.212,0
103.30.222.158,0
103.31.45.91,0
103.46.128.68,0
103.5.183.42,0
103.51.2.62,0
103.55.64.12,0
103.60.172.10,0
103.69.8.2,0
103.70.45.137,0
103.77.62.90,0
103.81.85.26,0
103.82.118.130,0
103.84.38.100,0
103.86.130.111,0
103.88.237.18,0
103.94.84.71,0
103.99.0.227,0
104.104.244.239,0
104.107.27.190,0
104.107.36.118,0
104.107.50.171,0
104.118.6.128,0
104.152.169.38,0
104.152.208.253,0
104.152.208.41,0
104.152.208.87,0
104.152.210.17,0
104.154.95.239,0
104.16.111.18,0
104.16.125.175,0
104.16.126.175,0
104.16.204.165,0
104.16.205.165,0
104.16.206.165,0
104.16.207.165,0
104.16.208.165,0
104.16.228.152,0
104.16.229.27,0
104.16.231.27,0
104.16.5.159,0
104.16.83.55,0
104.16.84.55,0
104.16.85.20,0
104.16.86.20,0
104.16.87.20,0
104.16.88.20,0
104.16.89.20,0
104.160.64.30,0
104.160.64.9,0
104.17.168.182,0
104.17.169.182,0
104.17.244.188,0
104.17.245.188,0
104.18.36.50,0
104.18.37.50,0
104.19.192.102,0
104.19.193.102,0
104.19.194.102,0
104.19.195.102,0
104.19.196.102,0
104.193.74.191,0
104.193.82.52,0
104.196.121.62,0
104.196.23.108,0
104.197.69.102,0
104.20.116.11,0
104.20.117.11,0
104.20.15.243,0
104.20.151.16,0
104.20.16.243,0
104.20.170.45,0
104.20.171.45,0
104.20.222.36,0
104.20.223.36,0
104.20.227.13,0
104.20.30.2,0
104.20.31.2,0
104.20.38.14,0
104.20.39.14,0
104.20.48.87,0
104.20.49.87,0
104.20.53.8,0
104.20.62.188,0
104.20.63.168,0
104.20.63.188,0
104.20.64.168,0
104.20.68.222,0
104.20.94.73,0
104.20.95.73,0
104.208.232.49,0
