,cluster_agglomerative
103.244.1.54,4
104.20.3.40,8
104.244.43.16,8
107.160.254.162,0
113.190.160.86,2
116.107.26.158,4
116.107.58.68,10
132.148.81.215,0
138.91.240.238,0
152.111.32.218,4
172.217.8.10,8
173.227.69.75,0
18.221.219.4,6
183.83.251.144,4
183.89.187.248,0
184.169.170.204,0
185.222.56.82,0
185.222.56.84,0
199.16.156.11,8
199.16.156.21,8
201.174.154.14,0
209.85.202.94,8
212.92.108.184,0
216.58.198.66,8
216.58.211.168,8
23.196.102.76,0
23.196.141.83,0
23.218.50.120,7
23.218.75.124,0
23.52.91.27,3
31.13.71.36,8
31.135.195.178,0
35.165.11.195,0
36.229.147.152,2
41.203.16.49,0
52.207.156.239,0
52.85.117.92,0
54.81.223.182,0
59.97.255.232,4
65.158.47.99,0
65.55.44.109,8
67.227.156.183,0
72.167.239.239,3
72.21.91.29,3
77.243.191.23,5
104.17.179.200,1
104.193.74.191,1
104.67.65.130,1
108.161.189.121,1
13.107.21.200,1
13.89.187.212,1
13.89.190.129,1
131.202.1.10,1
131.253.61.66,1
169.254.169.254,9
173.241.244.143,1
209.85.202.156,1
209.85.203.100,1
209.85.203.95,1
216.24.224.136,1
216.58.198.65,1
216.58.211.163,1
216.58.211.174,1
224.0.0.252,1
23.13.154.167,1
23.196.107.60,1
23.196.115.14,1
23.36.33.52,1
34.199.116.246,1
34.206.166.138,1
52.22.68.31,1
52.86.241.150,1
54.152.8.7,1
65.52.108.11,1
65.55.44.108,1
69.49.101.57,1
