,cluster_kmeans
172.31.0.2,3
172.31.64.100,4
172.31.64.101,0
172.31.64.103,0
172.31.64.104,4
172.31.64.106,1
172.31.64.107,4
172.31.64.108,0
172.31.64.109,4
172.31.64.11,4
172.31.64.110,4
172.31.64.111,2
172.31.64.112,3
172.31.64.113,6
172.31.64.114,1
172.31.64.115,5
172.31.64.116,1
172.31.64.117,3
172.31.64.118,5
172.31.64.119,4
172.31.64.12,3
172.31.64.120,3
172.31.64.121,1
172.31.64.123,4
172.31.64.124,4
172.31.64.125,2
172.31.64.126,2
172.31.64.13,4
172.31.64.14,3
172.31.64.15,6
172.31.64.16,0
172.31.64.18,1
172.31.64.19,4
172.31.64.20,3
172.31.64.21,1
172.31.64.23,6
172.31.64.24,3
172.31.64.26,2
172.31.64.27,4
172.31.64.28,0
172.31.64.29,4
172.31.64.31,1
172.31.64.32,1
172.31.64.33,6
172.31.64.34,1
172.31.64.35,2
172.31.64.36,3
172.31.64.37,1
172.31.64.38,2
172.31.64.39,3
172.31.64.4,4
172.31.64.40,1
172.31.64.41,1
172.31.64.42,4
172.31.64.44,0
172.31.64.45,4
172.31.64.46,5
172.31.64.47,3
172.31.64.48,1
172.31.64.49,0
172.31.64.51,4
172.31.64.52,6
172.31.64.54,2
172.31.64.57,3
172.31.64.58,4
172.31.64.60,4
172.31.64.61,3
172.31.64.63,2
172.31.64.64,1
172.31.64.65,5
172.31.64.67,5
172.31.64.68,0
172.31.64.69,0
172.31.64.7,4
172.31.64.70,0
172.31.64.71,5
172.31.64.72,4
172.31.64.73,0
172.31.64.74,3
172.31.64.75,2
172.31.64.76,2
172.31.64.77,4
172.31.64.78,3
172.31.64.79,4
172.31.64.8,0
172.31.64.80,3
172.31.64.81,4
172.31.64.83,4
172.31.64.85,4
172.31.64.86,3
172.31.64.87,0
172.31.64.88,3
172.31.64.89,3
172.31.64.91,3
172.31.64.92,4
172.31.64.93,3
172.31.64.94,1
172.31.64.95,2
172.31.64.96,0
172.31.64.97,1
172.31.64.98,3
172.31.64.99,1
172.31.65.10,2
172.31.65.100,1
172.31.65.103,3
172.31.65.104,3
172.31.65.105,3
172.31.65.107,0
172.31.65.108,3
172.31.65.109,0
172.31.65.11,3
172.31.65.112,4
172.31.65.113,5
172.31.65.114,3
172.31.65.115,3
172.31.65.116,3
172.31.65.117,6
172.31.65.118,4
172.31.65.119,0
172.31.65.121,4
172.31.65.122,4
172.31.65.123,5
172.31.65.124,2
172.31.65.125,3
172.31.65.126,5
172.31.65.13,1
172.31.65.14,5
172.31.65.16,1
172.31.65.17,3
172.31.65.18,4
172.31.65.19,3
172.31.65.20,1
172.31.65.21,3
172.31.65.23,3
172.31.65.24,3
172.31.65.25,1
172.31.65.27,4
172.31.65.28,2
172.31.65.29,5
172.31.65.30,0
172.31.65.32,0
172.31.65.33,4
172.31.65.35,3
172.31.65.36,4
172.31.65.37,4
172.31.65.38,3
172.31.65.39,0
172.31.65.40,2
172.31.65.41,0
172.31.65.42,3
172.31.65.43,4
172.31.65.44,4
172.31.65.45,0
172.31.65.46,3
172.31.65.47,3
172.31.65.48,3
172.31.65.49,1
172.31.65.5,4
172.31.65.51,3
172.31.65.52,3
172.31.65.55,3
172.31.65.56,5
172.31.65.57,3
172.31.65.58,3
172.31.65.59,4
172.31.65.6,6
172.31.65.61,1
172.31.65.64,4
172.31.65.65,0
172.31.65.67,1
172.31.65.68,6
172.31.65.69,3
172.31.65.70,3
172.31.65.71,0
172.31.65.72,4
172.31.65.73,3
172.31.65.75,0
172.31.65.77,1
172.31.65.78,3
172.31.65.79,1
172.31.65.8,4
172.31.65.80,1
172.31.65.81,2
172.31.65.82,4
172.31.65.83,1
172.31.65.84,4
172.31.65.85,4
172.31.65.86,5
172.31.65.87,3
172.31.65.88,2
172.31.65.89,3
172.31.65.9,3
