,kmeans,dbscan,agglomerative
9.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
-1.0,0.0,1.0,0.0
tot_kmeans,0.0,0.0,0.0
tot_dbscan,1.0,1.0,1.0
tot_agglomerative,0.0,0.0,0.0
#TP,0.0,1.0,0.0
#FP,1.0,6.0,0.0
#TN,452.0,446.0,453.0
#FN,0.0,0.0,0.0
Accuracy,0.9977924944812362,0.9867549668874173,1.0
Precision,0.0,0.14285714285714285,0.0
Recall,0.0,1.0,0.0
F1,0.0,0.0,0.0
Max_score,0.0,-938.3152309114408,0.0
172.31.69.25,-0.9648079134762009,-0.9648079134762009,-0.9648079134762009
Time,1111.0,1111.0,1111.0
9.0,0.0,0.0,1.0
10.0,0.0,0.0,0.0
-1.0,0.0,1.0,0.0
tot_kmeans,0.0,0.0,0.0
tot_dbscan,1.0,1.0,1.0
tot_agglomerative,1.0,1.0,1.0
#TP,0.0,1.0,1.0
#FP,0.0,6.0,0.0
#TN,451.0,444.0,450.0
#FN,0.0,0.0,0.0
Accuracy,1.0,0.9866962305986696,1.0
Precision,0.0,0.14285714285714285,1.0
Recall,0.0,1.0,1.0
F1,1.0,1.0,1.0
Max_score,0.0,-324.4379088712761,0.0
172.31.69.25,-0.9947564741352819,-0.9947564741352819,-0.9947564741352819
Time,1111.0,1111.0,1111.0
