Unnamed: 0,cluster_dbscan
1.10.209.197,0
1.160.162.253,0
1.160.97.51,0
1.162.30.190,0
1.168.28.155,0
1.168.67.215,0
1.168.93.146,0
1.169.120.52,0
1.172.177.131,0
1.172.177.76,0
1.172.25.34,0
1.175.112.206,0
1.179.190.36,0
1.180.113.203,0
1.189.245.27,0
1.194.20.6,0
1.195.250.63,0
1.197.134.189,0
1.2.195.107,0
1.20.83.93,0
1.4.130.157,0
1.4.237.246,0
1.50.217.139,0
1.52.170.254,0
1.52.98.76,0
1.53.43.90,0
1.54.229.218,0
1.54.24.5,0
1.55.177.219,0
1.55.182.92,0
1.55.209.13,0
1.55.249.116,0
1.80.83.66,0
100.32.201.162,0
100.43.85.181,0
100.43.90.110,0
100.43.91.115,0
101.109.197.123,0
101.109.250.146,0
101.204.228.38,0
101.217.104.183,0
101.226.196.136,0
101.228.49.102,0
101.255.120.162,0
101.255.64.210,0
101.28.159.193,0
101.28.95.228,0
101.51.115.17,0
101.51.172.197,0
101.51.43.156,0
101.78.227.226,0
101.80.111.96,0
101.99.15.115,0
103.103.121.218,0
103.103.68.9,0
103.104.34.10,0
103.11.97.252,0
103.14.245.12,0
103.16.62.10,0
103.19.169.220,0
103.194.172.2,0
103.198.52.6,0
103.199.161.11,0
103.199.37.152,0
103.209.1.35,0
103.209.1.58,0
103.211.50.2,0
103.219.12.77,0
103.219.69.186,0
103.225.93.13,0
103.23.136.102,0
103.230.123.138,0
103.231.189.232,0
103.231.218.134,0
103.232.33.3,0
103.237.175.114,0
103.238.68.57,0
103.242.110.18,0
103.244.1.54,0
103.244.121.226,0
103.245.33.102,0
103.247.50.139,0
103.248.196.34,0
103.248.248.210,0
103.249.240.61,0
103.252.27.0,0
103.253.42.37,0
103.255.45.25,0
103.255.7.11,0
103.26.185.240,0
103.26.247.254,0
103.27.185.69,0
103.30.141.212,0
103.30.222.158,0
103.31.45.91,0
103.37.181.124,0
103.37.29.170,0
103.46.128.68,0
103.47.57.2,0
103.5.183.42,0
103.5.25.75,0
103.5.47.70,0
103.5.47.78,0
103.5.47.79,0
103.51.2.62,0
103.55.146.137,0
103.55.184.7,0
103.55.64.12,0
103.6.146.130,0
103.60.172.10,0
103.60.172.162,0
103.60.172.186,0
103.60.175.23,0
103.69.111.161,0
103.69.8.2,0
103.70.45.137,0
103.71.96.195,0
103.77.62.90,0
103.81.12.42,0
103.81.33.39,0
103.81.85.26,0
103.82.118.130,0
103.84.143.125,0
103.84.38.100,0
103.85.224.166,0
103.85.98.173,0
103.86.130.111,0
103.86.42.72,0
103.88.237.18,0
103.9.90.2,0
103.94.84.71,0
103.97.203.2,0
103.98.158.7,0
103.99.0.227,0
104.104.244.239,0
104.107.27.190,0
104.107.36.118,0
104.107.50.171,0
104.118.6.128,0
104.121.156.203,0
104.152.169.38,0
104.152.185.223,0
104.152.185.251,0
104.152.208.218,0
104.152.208.253,0
104.152.208.41,0
104.152.208.62,0
104.152.208.87,0
104.152.209.121,0
104.152.210.17,0
104.152.210.27,0
104.152.211.144,0
104.154.95.239,0
104.16.111.18,0
104.16.117.12,0
104.16.119.221,0
104.16.124.175,0
104.16.125.175,0
104.16.126.175,0
104.16.18.13,0
104.16.204.165,0
104.16.205.165,0
104.16.206.165,0
104.16.207.165,0
104.16.208.165,0
104.16.228.152,0
104.16.228.27,0
104.16.229.27,0
104.16.231.27,0
104.16.232.27,0
104.16.30.213,0
104.16.32.27,0
104.16.5.159,0
104.16.58.5,0
104.16.6.159,0
104.16.83.55,0
104.16.84.55,0
104.16.85.20,0
104.16.86.20,0
104.16.87.20,0
104.16.88.20,0
104.16.89.20,0
104.160.64.30,0
104.160.64.9,0
104.17.168.182,0
104.17.169.182,0
104.17.197.123,0
104.17.201.123,0
104.17.244.188,0
104.17.245.188,0
104.17.80.191,0
104.18.36.50,0
104.18.37.50,0
104.185.214.185,0
104.19.192.102,0
104.19.193.102,0
104.19.194.102,0
104.19.195.102,0
104.19.196.102,0
104.192.142.44,0
104.192.142.68,0
104.193.74.191,0
104.193.82.51,0
104.193.82.52,0
104.196.121.62,0
104.196.23.108,0
104.197.69.102,0
104.20.10.153,0
104.20.116.11,0
104.20.117.11,0
104.20.15.243,0
104.20.151.16,0
104.20.16.243,0
104.20.170.45,0
104.20.171.45,0
104.20.2.40,0
104.20.222.36,0
104.20.223.36,0
104.20.227.13,0
104.20.3.40,0
104.20.30.2,0
104.20.31.2,0
104.20.38.14,0
104.20.39.14,0
104.20.48.87,0
104.20.49.87,0
104.20.52.8,0
104.20.53.8,0
104.20.62.188,0
104.20.63.168,0
104.20.63.188,0
104.20.64.168,0
104.20.68.222,0
104.20.80.244,0
104.20.94.73,0
104.20.95.73,0
104.208.232.49,0
104.210.149.182,0
104.216.145.22,0
104.216.96.156,0
104.236.143.191,0
104.238.184.122,0
104.24.110.133,0
104.24.110.169,0
104.24.111.133,0
104.24.111.169,0
104.24.2.77,0
104.24.246.16,0
104.24.30.32,0
104.24.31.32,0
104.244.42.1,0
104.244.42.65,0
104.244.43.112,0
104.244.43.113,0
104.244.43.144,0
104.244.43.16,0
104.244.43.17,0
104.244.43.176,0
104.244.43.177,0
104.244.43.209,0
104.244.43.48,0
104.244.43.80,0
104.244.46.135,0
104.244.46.199,0
104.244.46.231,0
104.244.46.39,0
104.244.46.7,0
104.244.46.71,0
104.25.113.47,0
104.25.114.47,0
104.25.135.37,0
104.25.136.37,0
104.25.157.114,0
104.25.64.8,0
104.27.135.181,0
104.27.162.22,0
104.27.163.22,0
104.27.170.98,0
104.27.171.98,0
104.27.180.197,0
104.27.181.197,0
104.28.20.184,0
104.28.21.184,0
104.28.21.35,0
104.31.74.124,0
104.31.75.124,0
104.31.84.81,0
104.31.85.81,0
104.45.6.77,0
104.67.65.130,0
104.67.65.22,0
104.67.65.8,0
104.67.69.74,0
104.67.85.151,0
104.67.87.96,0
104.67.89.115,0
104.86.80.239,0
104.86.87.161,0
104.91.38.127,0
104.96.210.67,0
104.96.220.144,0
104.96.220.162,0
104.96.221.163,0
104.96.221.170,0
104.96.221.177,0
104.96.221.186,0
104.96.221.200,0
105.112.88.66,0
105.191.222.36,0
105.228.94.188,0
106.2.36.141,0
106.2.89.52,0
106.203.31.84,0
106.204.100.42,0
106.206.17.200,0
106.223.156.97,0
106.223.211.14,0
106.223.31.145,0
106.223.85.110,0
106.51.106.152,0
106.51.127.54,0
106.51.16.225,0
106.51.170.197,0
106.51.177.220,0
106.51.235.21,0
106.51.25.245,0
106.51.28.41,0
106.6.109.38,0
106.67.24.128,0
106.76.87.36,0
106.84.154.147,0
107.138.169.100,0
107.150.101.156,0
107.151.154.25,0
107.152.3.101,0
107.160.254.162,0
107.170.229.27,0
107.175.89.198,0
107.178.240.89,0
107.178.244.119,0
107.178.254.65,0
107.181.161.101,0
107.181.174.130,0
107.20.135.198,0
107.20.162.225,0
107.20.164.115,0
107.20.177.212,0
107.20.189.177,0
107.20.216.34,0
107.21.111.191,0
107.21.205.62,0
107.21.232.68,0
107.21.40.148,0
107.217.94.48,0
107.22.160.246,0
107.22.182.161,0
107.22.185.72,0
107.22.187.194,0
107.22.187.51,0
107.22.209.248,0
107.22.209.99,0
107.22.216.68,0
107.22.226.112,0
107.22.227.142,0
107.22.234.102,0
107.22.237.39,0
107.22.241.95,0
107.22.242.203,0
107.22.243.68,0
107.23.127.159,0
107.23.151.76,0
107.23.175.130,0
107.23.18.97,0
107.23.203.104,0
107.23.60.106,0
107.23.9.24,0
107.23.92.66,0
107.23.95.151,0
108.161.136.24,0
108.161.140.98,0
108.161.188.192,0
108.161.189.121,0
108.161.189.55,0
108.166.178.118,0
108.167.180.221,0
108.168.172.162,0
108.170.31.115,0
108.174.10.14,0
108.174.10.19,0
108.174.11.1,0
108.175.2.252,0
108.175.3.79,0
108.177.98.103,0
108.177.98.104,0
108.177.98.105,0
108.177.98.106,0
108.177.98.147,0
108.177.98.94,0
108.177.98.99,0
108.199.26.226,0
108.21.232.91,0
108.29.208.120,0
108.29.95.169,0
108.43.233.37,0
109.105.193.25,0
109.110.12.150,0
109.111.25.147,0
109.122.62.22,0
109.124.18.100,0
109.165.68.122,0
109.166.89.187,0
109.166.91.221,0
109.177.147.154,0
109.184.175.251,0
109.188.66.85,0
109.190.239.77,0
109.191.183.60,0
109.195.54.147,0
109.199.125.97,0
109.201.152.18,0
109.202.0.226,0
109.227.219.198,0
109.228.28.18,0
109.230.76.226,0
109.230.86.139,0
109.236.89.133,0
109.238.238.30,0
109.248.190.89,0
109.248.196.130,0
109.248.199.10,0
109.26.235.185,0
109.60.153.178,0
109.74.163.5,0
109.75.202.225,0
109.75.43.195,0
109.87.125.118,0
109.87.96.246,0
109.95.229.123,0
109.95.50.47,0
110.136.118.242,0
110.136.119.36,0
110.136.46.123,0
110.136.55.165,0
110.137.144.186,0
110.137.153.91,0
110.137.19.248,0
110.137.204.1,0
110.137.211.59,0
110.137.88.40,0
110.138.149.185,0
110.138.155.123,0
110.139.203.209,0
110.142.157.173,0
110.152.236.140,0
110.153.62.157,0
110.164.250.104,0
