Unnamed: 0,cluster_agglomerative
172.31.0.2,5
172.31.64.100,0
172.31.64.101,0
172.31.64.103,0
172.31.64.104,8
172.31.64.106,4
172.31.64.107,0
172.31.64.108,8
172.31.64.109,0
172.31.64.11,0
172.31.64.110,7
172.31.64.111,4
172.31.64.112,6
172.31.64.113,3
172.31.64.114,1
172.31.64.115,1
172.31.64.116,3
172.31.64.117,3
172.31.64.118,1
172.31.64.119,8
172.31.64.12,3
172.31.64.120,3
172.31.64.121,3
172.31.64.122,1
172.31.64.123,8
172.31.64.124,8
172.31.64.125,3
172.31.64.126,4
172.31.64.13,8
172.31.64.14,3
172.31.64.15,4
172.31.64.16,8
172.31.64.18,3
172.31.64.19,7
172.31.64.20,4
172.31.64.21,3
172.31.64.23,3
172.31.64.24,3
172.31.64.26,4
172.31.64.27,0
172.31.64.28,0
172.31.64.29,7
172.31.64.31,3
172.31.64.32,3
172.31.64.33,1
172.31.64.34,3
172.31.64.35,4
172.31.64.36,3
172.31.64.37,3
172.31.64.38,4
172.31.64.39,3
172.31.64.4,8
172.31.64.40,3
172.31.64.41,4
172.31.64.42,8
172.31.64.44,8
172.31.64.45,8
172.31.64.46,4
172.31.64.47,3
172.31.64.48,4
172.31.64.49,8
172.31.64.51,9
172.31.64.52,3
172.31.64.54,1
172.31.64.57,3
172.31.64.58,8
172.31.64.60,0
172.31.64.61,3
172.31.64.63,4
172.31.64.64,1
172.31.64.65,4
172.31.64.67,4
172.31.64.68,9
172.31.64.69,0
172.31.64.7,8
172.31.64.70,0
172.31.64.71,4
172.31.64.72,8
172.31.64.73,8
172.31.64.74,3
172.31.64.75,1
172.31.64.76,4
172.31.64.77,0
172.31.64.78,3
172.31.64.79,0
172.31.64.8,8
172.31.64.80,4
172.31.64.81,0
172.31.64.83,0
172.31.64.84,4
172.31.64.85,8
172.31.64.86,3
172.31.64.87,0
172.31.64.88,3
172.31.64.89,3
172.31.64.91,3
172.31.64.92,0
172.31.64.93,3
172.31.64.94,3
172.31.64.95,1
172.31.64.96,0
172.31.64.97,3
172.31.64.98,4
172.31.64.99,4
172.31.65.10,4
172.31.65.100,4
172.31.65.103,4
172.31.65.104,4
172.31.65.105,3
172.31.65.107,0
172.31.65.108,3
172.31.65.109,0
172.31.65.11,3
172.31.65.112,8
172.31.65.113,1
172.31.65.114,3
172.31.65.115,4
172.31.65.116,3
172.31.65.117,3
172.31.65.118,7
172.31.65.119,0
172.31.65.121,0
172.31.65.122,8
172.31.65.123,1
172.31.65.124,1
172.31.65.125,3
172.31.65.126,4
172.31.65.13,4
172.31.65.14,1
172.31.65.16,4
172.31.65.17,3
172.31.65.18,0
172.31.65.19,3
172.31.65.20,1
172.31.65.21,6
172.31.65.23,3
172.31.65.24,3
172.31.65.25,1
172.31.65.27,0
172.31.65.28,4
172.31.65.29,1
172.31.65.30,0
172.31.65.32,8
172.31.65.33,8
172.31.65.34,1
172.31.65.35,3
172.31.65.36,0
172.31.65.37,0
172.31.65.38,6
172.31.65.39,0
172.31.65.40,4
172.31.65.41,8
172.31.65.42,3
172.31.65.43,0
172.31.65.44,8
172.31.65.45,0
172.31.65.46,3
172.31.65.47,3
172.31.65.48,3
172.31.65.49,1
172.31.65.5,0
172.31.65.51,6
172.31.65.52,3
172.31.65.55,4
172.31.65.56,1
172.31.65.57,3
172.31.65.58,3
172.31.65.59,0
172.31.65.6,4
172.31.65.61,1
172.31.65.64,8
172.31.65.65,8
172.31.65.67,3
172.31.65.68,3
172.31.65.69,3
172.31.65.70,4
172.31.65.71,8
172.31.65.72,8
172.31.65.73,3
172.31.65.75,0
172.31.65.77,3
172.31.65.78,3
172.31.65.79,4
172.31.65.8,7
172.31.65.80,4
172.31.65.81,1
172.31.65.82,0
172.31.65.83,3
172.31.65.84,0
172.31.65.85,0
172.31.65.86,1
172.31.65.87,6
172.31.65.88,4
172.31.65.89,6
172.31.65.9,3
172.31.65.90,3
172.31.65.91,8
172.31.65.93,8
172.31.65.96,0
172.31.65.98,8
172.31.65.99,3
172.31.66.10,3
172.31.66.101,4
172.31.66.102,1
172.31.66.103,3
172.31.66.105,8
172.31.66.107,8
172.31.66.108,0
172.31.66.109,0
172.31.66.11,8
172.31.66.110,4
172.31.66.111,4
172.31.66.112,1
172.31.66.113,8
172.31.66.114,4
172.31.66.115,1
172.31.66.116,0
172.31.66.118,4
172.31.66.119,8
172.31.66.12,8
172.31.66.120,1
172.31.66.121,1
172.31.66.122,0
172.31.66.123,4
172.31.66.124,0
172.31.66.13,8
172.31.66.14,0
172.31.66.15,4
172.31.66.16,8
172.31.66.17,0
172.31.66.19,4
172.31.66.20,0
172.31.66.21,9
172.31.66.22,1
172.31.66.24,3
172.31.66.25,0
172.31.66.26,8
172.31.66.28,0
172.31.66.29,7
172.31.66.34,0
172.31.66.35,0
172.31.66.37,0
172.31.66.38,8
172.31.66.40,7
172.31.66.41,3
172.31.66.42,4
172.31.66.43,1
172.31.66.44,8
172.31.66.46,4
172.31.66.48,0
172.31.66.49,4
172.31.66.5,0
172.31.66.50,9
172.31.66.51,8
172.31.66.53,9
172.31.66.54,4
172.31.66.55,8
172.31.66.56,0
172.31.66.57,0
172.31.66.58,1
172.31.66.60,8
172.31.66.61,7
172.31.66.62,4
172.31.66.63,4
172.31.66.64,8
172.31.66.65,8
172.31.66.66,8
172.31.66.68,0
172.31.66.69,3
172.31.66.7,0
172.31.66.70,8
172.31.66.71,8
172.31.66.72,1
172.31.66.73,0
172.31.66.74,0
172.31.66.75,8
172.31.66.77,0
172.31.66.78,0
172.31.66.79,3
172.31.66.8,8
172.31.66.80,0
172.31.66.81,0
172.31.66.82,4
172.31.66.83,3
172.31.66.84,8
172.31.66.85,4
172.31.66.86,9
172.31.66.87,8
172.31.66.89,4
172.31.66.9,3
172.31.66.90,3
172.31.66.91,0
172.31.66.92,4
172.31.66.94,0
172.31.66.95,0
172.31.66.96,3
172.31.66.97,0
172.31.66.98,0
172.31.66.99,4
172.31.67.10,1
172.31.67.100,0
172.31.67.101,1
172.31.67.102,3
172.31.67.104,3
172.31.67.105,3
172.31.67.107,4
172.31.67.108,3
172.31.67.109,1
172.31.67.111,4
172.31.67.112,0
172.31.67.113,0
172.31.67.114,3
172.31.67.115,8
172.31.67.116,4
172.31.67.117,8
172.31.67.118,4
172.31.67.119,5
172.31.67.12,0
172.31.67.120,0
172.31.67.121,3
172.31.67.122,0
172.31.67.123,3
172.31.67.124,3
172.31.67.125,4
172.31.67.126,8
172.31.67.13,1
172.31.67.14,3
172.31.67.15,4
172.31.67.16,0
172.31.67.17,8
172.31.67.18,0
172.31.67.19,3
172.31.67.20,0
172.31.67.21,4
172.31.67.22,3
172.31.67.23,1
172.31.67.24,8
172.31.67.26,4
172.31.67.27,1
172.31.67.29,0
172.31.67.30,3
172.31.67.31,8
172.31.67.33,3
172.31.67.34,3
172.31.67.35,3
172.31.67.37,0
172.31.67.38,0
172.31.67.4,3
172.31.67.40,6
172.31.67.41,4
172.31.67.42,8
172.31.67.45,8
172.31.67.46,3
172.31.67.47,0
172.31.67.48,0
172.31.67.50,4
172.31.67.52,0
172.31.67.53,8
172.31.67.54,1
172.31.67.56,3
172.31.67.57,8
172.31.67.58,0
172.31.67.59,4
172.31.67.6,8
172.31.67.60,0
172.31.67.61,0
172.31.67.62,4
172.31.67.63,1
172.31.67.64,0
172.31.67.66,8
172.31.67.67,8
172.31.67.7,0
172.31.67.70,3
172.31.67.71,3
172.31.67.72,3
172.31.67.73,0
172.31.67.75,8
172.31.67.76,4
172.31.67.77,0
172.31.67.78,3
172.31.67.8,6
172.31.67.80,4
172.31.67.81,1
172.31.67.82,4
172.31.67.83,3
172.31.67.86,4
172.31.67.89,4
172.31.67.9,4
172.31.67.91,0
172.31.67.92,8
172.31.67.93,3
172.31.67.94,4
172.31.67.95,3
172.31.67.96,0
172.31.67.97,3
172.31.67.98,4
172.31.67.99,0
172.31.68.10,0
172.31.68.11,9
172.31.68.12,0
172.31.68.13,0
172.31.68.14,8
172.31.68.15,8
172.31.68.18,8
172.31.68.19,0
172.31.68.20,0
172.31.68.21,7
172.31.68.23,0
172.31.68.25,8
172.31.68.26,0
172.31.68.28,8
172.31.68.30,0
172.31.68.4,0
172.31.68.5,0
172.31.68.6,0
172.31.68.8,8
172.31.68.9,8
172.31.69.10,8
172.31.69.11,8
172.31.69.12,8
172.31.69.13,0
172.31.69.14,8
172.31.69.16,8
172.31.69.17,0
172.31.69.18,2
172.31.69.19,9
172.31.69.20,0
172.31.69.21,2
172.31.69.22,2
172.31.69.23,0
172.31.69.24,0
172.31.69.25,2
172.31.69.26,8
172.31.69.27,2
172.31.69.28,8
172.31.69.29,8
172.31.69.30,0
172.31.69.4,9
172.31.69.5,0
172.31.69.6,7
172.31.69.7,2
172.31.69.8,8
172.31.69.9,8
172.31.64.1,5
172.31.64.127,5
172.31.65.1,5
172.31.65.127,5
172.31.66.1,5
172.31.66.127,5
172.31.67.1,5
172.31.67.127,5
172.31.68.1,5
172.31.69.1,5
