Unnamed: 0,cluster_kmeans
172.31.0.2,4
172.31.64.100,5
172.31.64.101,1
172.31.64.103,5
172.31.64.104,2
172.31.64.106,4
172.31.64.107,5
172.31.64.108,2
172.31.64.109,5
172.31.64.11,5
172.31.64.110,1
172.31.64.111,0
172.31.64.112,4
172.31.64.113,4
172.31.64.114,8
172.31.64.115,8
172.31.64.116,4
172.31.64.117,4
172.31.64.118,0
172.31.64.119,2
172.31.64.12,4
172.31.64.120,4
172.31.64.121,4
172.31.64.122,0
172.31.64.123,2
172.31.64.124,2
172.31.64.125,0
172.31.64.126,0
172.31.64.13,2
172.31.64.14,4
172.31.64.15,4
172.31.64.16,2
172.31.64.18,4
172.31.64.19,1
172.31.64.20,4
172.31.64.21,4
172.31.64.23,4
172.31.64.24,4
172.31.64.26,0
172.31.64.27,5
172.31.64.28,5
172.31.64.29,1
172.31.64.31,4
172.31.64.32,4
172.31.64.33,8
172.31.64.34,4
172.31.64.35,0
172.31.64.36,4
172.31.64.37,4
172.31.64.38,0
172.31.64.39,4
172.31.64.4,2
172.31.64.40,4
172.31.64.41,4
172.31.64.42,2
172.31.64.44,2
172.31.64.45,2
172.31.64.46,0
172.31.64.47,4
172.31.64.48,4
172.31.64.49,2
172.31.64.51,5
172.31.64.52,4
172.31.64.54,0
172.31.64.57,4
172.31.64.58,2
172.31.64.60,2
172.31.64.61,4
172.31.64.63,0
172.31.64.64,0
172.31.64.65,0
172.31.64.67,0
172.31.64.68,2
172.31.64.69,2
172.31.64.7,2
172.31.64.70,2
172.31.64.71,0
172.31.64.72,2
172.31.64.73,2
172.31.64.74,4
172.31.64.75,0
172.31.64.76,0
172.31.64.77,5
172.31.64.78,4
172.31.64.79,2
172.31.64.8,2
172.31.64.80,4
172.31.64.81,5
172.31.64.83,5
172.31.64.84,0
172.31.64.85,2
172.31.64.86,4
172.31.64.87,5
172.31.64.88,4
172.31.64.89,4
172.31.64.91,4
172.31.64.92,5
172.31.64.93,4
172.31.64.94,4
172.31.64.95,0
172.31.64.96,5
172.31.64.97,4
172.31.64.98,4
172.31.64.99,0
172.31.65.10,0
172.31.65.100,4
172.31.65.103,4
172.31.65.104,4
172.31.65.105,4
172.31.65.107,2
172.31.65.108,4
172.31.65.109,5
172.31.65.11,4
172.31.65.112,2
172.31.65.113,0
172.31.65.114,4
172.31.65.115,4
172.31.65.116,4
172.31.65.117,4
172.31.65.118,1
172.31.65.119,2
172.31.65.121,2
172.31.65.122,2
172.31.65.123,0
172.31.65.124,8
172.31.65.125,4
172.31.65.126,0
172.31.65.13,4
172.31.65.14,0
172.31.65.16,4
172.31.65.17,4
172.31.65.18,2
172.31.65.19,4
172.31.65.20,8
172.31.65.21,4
172.31.65.23,4
172.31.65.24,4
172.31.65.25,8
172.31.65.27,5
172.31.65.28,0
172.31.65.29,0
172.31.65.30,5
172.31.65.32,2
172.31.65.33,2
172.31.65.34,8
172.31.65.35,4
172.31.65.36,5
172.31.65.37,2
172.31.65.38,4
172.31.65.39,5
172.31.65.40,0
172.31.65.41,2
172.31.65.42,4
172.31.65.43,5
172.31.65.44,2
172.31.65.45,5
172.31.65.46,4
172.31.65.47,4
172.31.65.48,4
172.31.65.49,8
172.31.65.5,5
172.31.65.51,4
172.31.65.52,4
172.31.65.55,4
172.31.65.56,8
172.31.65.57,4
172.31.65.58,4
172.31.65.59,5
172.31.65.6,4
172.31.65.61,8
172.31.65.64,2
172.31.65.65,2
172.31.65.67,4
172.31.65.68,4
172.31.65.69,4
172.31.65.70,4
172.31.65.71,2
172.31.65.72,2
172.31.65.73,4
172.31.65.75,5
172.31.65.77,4
172.31.65.78,4
172.31.65.79,4
172.31.65.8,1
172.31.65.80,4
172.31.65.81,8
172.31.65.82,5
172.31.65.83,4
172.31.65.84,5
172.31.65.85,2
172.31.65.86,0
172.31.65.87,4
172.31.65.88,0
172.31.65.89,4
172.31.65.9,4
172.31.65.90,4
172.31.65.91,2
172.31.65.93,2
172.31.65.96,2
172.31.65.98,2
172.31.65.99,4
172.31.66.10,4
172.31.66.101,0
172.31.66.102,8
172.31.66.103,4
172.31.66.105,2
172.31.66.107,2
172.31.66.108,5
172.31.66.109,5
172.31.66.11,2
172.31.66.110,4
172.31.66.111,8
172.31.66.112,0
172.31.66.113,2
172.31.66.114,0
172.31.66.115,8
172.31.66.116,5
172.31.66.118,4
172.31.66.119,5
172.31.66.12,2
172.31.66.120,0
172.31.66.121,8
172.31.66.122,2
172.31.66.123,0
172.31.66.124,5
172.31.66.13,2
172.31.66.14,5
172.31.66.15,4
172.31.66.16,2
172.31.66.17,5
172.31.66.19,4
172.31.66.20,5
172.31.66.21,2
172.31.66.22,0
172.31.66.24,4
172.31.66.25,5
172.31.66.26,2
172.31.66.28,5
172.31.66.29,1
172.31.66.34,5
172.31.66.35,5
172.31.66.37,5
172.31.66.38,2
172.31.66.40,1
172.31.66.41,0
172.31.66.42,0
172.31.66.43,8
172.31.66.44,2
172.31.66.46,4
172.31.66.48,5
172.31.66.49,0
172.31.66.5,5
172.31.66.50,2
172.31.66.51,2
172.31.66.53,2
172.31.66.54,0
172.31.66.55,2
172.31.66.56,2
172.31.66.57,5
172.31.66.58,8
172.31.66.60,2
172.31.66.61,1
172.31.66.62,0
172.31.66.63,0
172.31.66.64,2
172.31.66.65,2
172.31.66.66,2
172.31.66.68,5
172.31.66.69,4
172.31.66.7,2
172.31.66.70,2
172.31.66.71,2
172.31.66.72,0
172.31.66.73,2
172.31.66.74,5
172.31.66.75,2
172.31.66.77,5
172.31.66.78,2
172.31.66.79,4
172.31.66.8,2
172.31.66.80,5
172.31.66.81,2
172.31.66.82,8
172.31.66.83,4
172.31.66.84,2
172.31.66.85,0
172.31.66.86,2
172.31.66.87,2
172.31.66.89,0
172.31.66.9,4
172.31.66.90,4
172.31.66.91,2
172.31.66.92,4
172.31.66.94,5
172.31.66.95,2
172.31.66.96,4
172.31.66.97,5
172.31.66.98,2
172.31.66.99,4
172.31.67.10,0
172.31.67.100,5
172.31.67.101,0
172.31.67.102,4
172.31.67.104,4
172.31.67.105,4
172.31.67.107,4
172.31.67.108,4
172.31.67.109,8
172.31.67.111,4
172.31.67.112,5
172.31.67.113,2
172.31.67.114,4
172.31.67.115,2
172.31.67.116,0
172.31.67.117,2
172.31.67.118,4
172.31.67.119,8
172.31.67.12,5
172.31.67.120,5
172.31.67.121,4
172.31.67.122,5
172.31.67.123,4
172.31.67.124,4
172.31.67.125,0
172.31.67.126,2
172.31.67.13,0
172.31.67.14,4
172.31.67.15,0
172.31.67.16,2
172.31.67.17,2
172.31.67.18,5
172.31.67.19,4
172.31.67.20,2
172.31.67.21,0
172.31.67.22,4
172.31.67.23,8
172.31.67.24,2
172.31.67.26,4
172.31.67.27,8
172.31.67.29,5
172.31.67.30,4
172.31.67.31,2
172.31.67.33,4
172.31.67.34,4
172.31.67.35,4
172.31.67.37,5
172.31.67.38,5
172.31.67.4,4
172.31.67.40,4
172.31.67.41,0
172.31.67.42,2
172.31.67.45,5
172.31.67.46,4
172.31.67.47,2
172.31.67.48,2
172.31.67.50,0
172.31.67.52,5
172.31.67.53,2
172.31.67.54,0
172.31.67.56,4
172.31.67.57,2
172.31.67.58,5
172.31.67.59,4
172.31.67.6,2
172.31.67.60,5
172.31.67.61,5
172.31.67.62,4
172.31.67.63,8
172.31.67.64,5
172.31.67.66,2
172.31.67.67,2
172.31.67.7,5
172.31.67.70,4
172.31.67.71,4
172.31.67.72,4
172.31.67.73,5
172.31.67.75,2
172.31.67.76,4
172.31.67.77,5
172.31.67.78,4
172.31.67.8,4
172.31.67.80,0
172.31.67.81,0
172.31.67.82,0
172.31.67.83,4
172.31.67.86,0
172.31.67.89,4
172.31.67.9,4
172.31.67.91,5
172.31.67.92,2
172.31.67.93,4
172.31.67.94,0
172.31.67.95,4
172.31.67.96,5
172.31.67.97,4
172.31.67.98,4
172.31.67.99,5
172.31.68.10,2
172.31.68.11,2
172.31.68.12,2
172.31.68.13,5
172.31.68.14,5
172.31.68.15,2
172.31.68.18,2
172.31.68.19,2
172.31.68.20,5
172.31.68.21,1
172.31.68.23,5
172.31.68.25,2
172.31.68.26,5
172.31.68.28,2
172.31.68.30,5
172.31.68.4,5
172.31.68.5,5
172.31.68.6,2
172.31.68.8,2
172.31.68.9,2
172.31.69.10,2
172.31.69.11,2
172.31.69.12,2
172.31.69.13,5
172.31.69.14,2
172.31.69.16,2
172.31.69.17,5
172.31.69.18,9
172.31.69.19,2
172.31.69.20,2
172.31.69.21,9
172.31.69.22,7
172.31.69.23,5
172.31.69.24,5
172.31.69.25,9
172.31.69.26,2
172.31.69.27,7
172.31.69.28,2
172.31.69.29,2
172.31.69.30,2
172.31.69.4,2
172.31.69.5,5
172.31.69.6,1
172.31.69.7,6
172.31.69.8,2
172.31.69.9,2
172.31.64.1,3
172.31.64.127,4
172.31.65.1,3
172.31.65.127,4
172.31.66.1,3
172.31.66.127,4
172.31.67.1,3
172.31.67.127,4
172.31.68.1,4
172.31.69.1,4
