,kmeans,dbscan,agglomerative
1.0,0.0,0.0,0.0
-1.0,0.0,1.0,0.0
tot_kmeans,0.0,0.0,0.0
tot_dbscan,1.0,1.0,1.0
tot_agglomerative,0.0,0.0,0.0
#TP,0.0,1.0,0.0
#FP,3.0,4.0,1.0
#TN,4345.0,4343.0,4347.0
#FN,0.0,0.0,0.0
Accuracy,0.9993100275988961,0.9990800367985281,0.999770009199632
Precision,0.0,0.2,0.0
Recall,0.0,1.0,0.0
F1,0.0,0.0,0.0
Max_score,0.0,0.0,0.0
18.221.219.4,0.0,0.0,0.0
Time,1111.0,1111.0,1111.0
4.0,1.0,0.0,0.0
-1.0,0.0,1.0,0.0
7.0,0.0,0.0,1.0
tot_kmeans,1.0,1.0,1.0
tot_dbscan,1.0,1.0,1.0
tot_agglomerative,1.0,1.0,1.0
#TP,1.0,1.0,1.0
#FP,2.0,3.0,2.0
#TN,4439.0,4438.0,4439.0
#FN,0.0,0.0,0.0
Accuracy,0.9995497523638001,0.9993246285457001,0.9995497523638001
Precision,0.3333333333333333,0.25,0.3333333333333333
Recall,1.0,1.0,1.0
F1,0.5,0.5,0.5
Max_score,0.0,0.0,0.0
18.221.219.4,0.0,0.0,0.0
Time,1111.0,1111.0,1111.0
8.0,1.0,0.0,0.0
-1.0,0.0,1.0,0.0
6.0,0.0,0.0,1.0
tot_kmeans,1.0,1.0,1.0
tot_dbscan,1.0,1.0,1.0
tot_agglomerative,1.0,1.0,1.0
#TP,1.0,1.0,1.0
#FP,4.0,18.0,4.0
#TN,71.0,57.0,71.0
#FN,0.0,0.0,0.0
Accuracy,0.9473684210526315,0.7631578947368421,0.9473684210526315
Precision,0.2,0.05263157894736842,0.2
Recall,1.0,1.0,1.0
F1,0.33333333333333337,0.33333333333333337,0.33333333333333337
Max_score,0.0,-175.88966607087758,0.0
18.221.219.4,-0.9894329474098242,-0.9894329474098242,-0.9894329474098242
Time,1111.0,1111.0,1111.0
