,cluster_kmeans
1.160.162.253,1
1.162.30.190,1
1.168.28.155,4
1.168.67.215,4
1.169.120.52,4
1.179.190.36,1
1.4.130.157,4
1.50.217.139,1
1.52.98.76,4
1.55.177.219,1
1.55.182.92,4
1.55.209.13,4
1.55.249.116,2
100.43.85.181,1
101.109.197.123,4
101.204.228.38,1
101.255.64.210,4
101.51.115.17,4
101.51.172.197,4
101.51.43.156,4
101.78.227.226,1
101.80.111.96,1
101.99.15.115,2
103.103.121.218,1
103.103.68.9,4
103.104.34.10,4
103.14.245.12,1
103.19.169.220,4
103.198.52.6,4
103.199.37.152,4
103.211.50.2,1
103.219.12.77,4
103.219.69.186,2
103.225.93.13,4
103.230.123.138,4
103.231.189.232,1
103.237.175.114,4
103.238.68.57,4
103.242.110.18,4
103.244.1.54,1
103.248.196.34,2
103.248.248.210,4
103.26.247.254,1
103.30.141.212,2
103.30.222.158,1
103.37.29.170,4
103.47.57.2,4
103.5.183.42,4
103.5.25.75,4
103.5.47.70,1
103.5.47.78,1
103.5.47.79,1
103.55.146.137,4
103.55.184.7,4
103.6.146.130,4
103.60.172.10,1
103.60.172.186,4
103.69.8.2,2
103.70.45.137,1
103.71.96.195,1
103.81.12.42,4
103.84.38.100,4
103.85.224.166,4
103.85.98.173,4
103.86.130.111,1
103.86.42.72,1
103.9.90.2,4
103.94.84.71,1
103.98.158.7,1
104.107.50.171,1
104.118.6.128,1
104.121.156.203,1
104.152.169.38,1
104.152.185.223,4
104.152.185.251,4
104.152.208.253,4
104.152.208.41,2
104.152.208.62,4
104.152.209.121,4
104.152.210.17,1
104.152.210.27,4
104.154.95.239,1
104.16.117.12,1
104.16.124.175,1
104.16.18.13,1
104.16.204.165,1
104.16.205.165,1
104.16.206.165,1
104.16.207.165,1
104.16.208.165,1
104.16.229.27,1
104.16.32.27,1
104.16.58.5,1
104.16.83.55,1
104.16.84.55,1
104.16.85.20,1
104.16.86.20,1
104.16.87.20,1
104.16.88.20,1
104.16.89.20,1
104.160.64.9,1
104.17.168.182,1
104.17.169.182,1
104.17.201.123,1
104.17.244.188,1
104.17.80.191,1
104.18.36.50,1
104.18.37.50,1
104.19.192.102,1
104.19.193.102,1
104.19.194.102,1
104.19.195.102,1
104.19.196.102,1
104.192.142.44,1
104.193.74.191,1
104.193.82.52,1
104.20.116.11,1
104.20.117.11,1
104.20.15.243,1
104.20.151.16,1
104.20.16.243,1
104.20.2.40,1
104.20.222.36,1
104.20.223.36,1
104.20.30.2,1
104.20.31.2,1
104.20.38.14,1
104.20.39.14,1
104.20.52.8,1
104.20.62.188,1
104.20.63.168,1
104.20.63.188,1
104.20.64.168,1
104.20.80.244,1
104.20.94.73,1
104.20.95.73,1
104.208.232.49,1
104.210.149.182,1
104.216.145.22,1
104.216.96.156,4
104.236.143.191,1
104.238.184.122,4
104.24.110.133,1
104.24.111.169,1
104.24.2.77,1
104.24.30.32,1
104.244.42.65,1
104.244.43.112,1
104.244.43.113,1
104.244.43.144,1
104.244.43.16,1
104.244.43.17,1
104.244.43.176,1
104.244.43.48,1
104.244.43.80,1
104.244.46.135,1
104.244.46.199,1
104.244.46.231,1
104.244.46.7,1
104.244.46.71,1
104.25.135.37,1
104.25.136.37,1
104.27.170.98,1
104.27.171.98,1
104.27.180.197,1
104.27.181.197,1
104.28.20.184,1
104.28.21.184,1
104.31.84.81,1
104.31.85.81,1
104.67.85.151,1
104.67.87.96,1
104.67.89.115,1
104.86.80.239,1
104.86.87.161,1
104.91.38.127,1
105.112.88.66,2
105.228.94.188,4
106.2.36.141,2
106.2.89.52,4
106.223.156.97,4
106.223.85.110,4
106.51.106.152,1
106.51.127.54,4
106.51.16.225,4
106.51.177.220,1
106.51.28.41,2
106.67.24.128,4
106.84.154.147,1
107.152.3.101,1
107.160.254.162,1
107.170.229.27,1
107.175.89.198,2
107.178.240.89,1
107.178.254.65,1
107.181.174.130,1
107.20.135.198,1
107.20.162.225,1
107.20.164.115,1
107.20.177.212,1
107.20.189.177,1
107.20.216.34,1
107.21.111.191,1
107.21.205.62,1
107.21.232.68,1
107.21.40.148,1
107.217.94.48,1
107.22.182.161,1
107.22.185.72,1
107.22.226.112,1
107.22.227.142,1
107.22.243.68,1
107.23.151.76,1
107.23.60.106,1
107.23.92.66,1
107.23.95.151,1
108.161.140.98,4
108.161.188.192,1
108.161.189.121,0
108.168.172.162,1
108.174.10.14,0
108.174.10.19,1
108.174.11.1,1
108.175.2.252,1
108.175.3.79,4
108.177.98.103,1
108.177.98.104,1
108.177.98.105,1
108.177.98.106,1
108.177.98.147,1
108.177.98.99,1
108.199.26.226,1
108.21.232.91,1
108.29.208.120,4
108.43.233.37,1
109.110.12.150,1
109.111.25.147,1
109.166.89.187,4
109.177.147.154,4
109.184.175.251,2
109.188.66.85,4
109.195.54.147,1
109.199.125.97,1
109.201.152.18,1
109.202.0.226,4
109.227.219.198,4
109.228.28.18,1
109.230.76.226,4
109.236.89.133,1
109.238.238.30,2
109.26.235.185,4
109.75.43.195,4
109.87.125.118,4
109.95.229.123,4
109.95.50.47,4
110.136.118.242,4
110.136.46.123,4
110.136.55.165,4
110.137.153.91,4
110.137.19.248,4
110.137.204.1,4
110.138.149.185,4
110.138.155.123,4
110.139.203.209,4
110.152.236.140,1
110.251.246.219,1
110.34.13.4,1
110.36.172.116,1
110.67.91.131,4
110.77.131.70,1
110.77.168.122,2
110.77.237.48,4
110.9.175.177,4
110.9.175.206,4
111.15.169.192,1
111.15.36.240,1
111.221.29.254,1
111.23.105.74,1
111.240.22.172,4
111.246.20.228,1
111.251.106.123,2
111.251.41.151,4
111.252.203.39,4
111.253.21.186,4
111.254.219.243,4
111.255.125.52,4
111.41.168.110,1
