,cluster_agglomerative
172.31.64.101,1
172.31.64.120,2
172.31.64.126,2
172.31.64.27,2
172.31.64.33,8
172.31.64.52,1
172.31.64.67,2
172.31.64.73,2
172.31.64.85,2
172.31.64.88,5
172.31.64.99,2
172.31.65.118,0
172.31.65.123,7
172.31.65.25,3
172.31.65.27,2
172.31.65.39,0
172.31.65.55,2
172.31.65.9,2
172.31.65.90,2
172.31.66.120,2
172.31.66.49,2
172.31.66.57,2
172.31.66.77,2
172.31.66.81,1
172.31.66.85,2
172.31.66.98,2
172.31.67.109,2
172.31.67.58,2
172.31.67.70,2
172.31.67.76,4
172.31.68.18,2
172.31.68.19,2
172.31.68.6,1
172.31.69.12,2
172.31.0.2,9
172.31.64.107,5
172.31.64.127,1
172.31.64.70,1
172.31.64.74,6
172.31.64.81,1
172.31.64.83,5
172.31.65.56,5
172.31.65.6,5
172.31.65.86,1
172.31.65.98,4
172.31.66.119,4
172.31.66.122,6
172.31.66.53,5
172.31.66.62,5
172.31.66.63,5
172.31.67.100,5
172.31.67.111,6
172.31.67.31,6
172.31.67.37,1
172.31.67.50,5
172.31.67.61,1
172.31.67.62,5
172.31.67.75,5
172.31.67.86,1
172.31.68.20,1
172.31.68.21,6
172.31.69.16,5
172.31.69.25,1
172.31.69.28,1
