,cluster_dbscan
172.31.64.101,0
172.31.64.120,0
172.31.64.126,0
172.31.64.27,0
172.31.64.33,-1
172.31.64.52,0
172.31.64.67,0
172.31.64.73,0
172.31.64.85,0
172.31.64.88,0
172.31.64.99,0
172.31.65.118,-1
172.31.65.123,-1
172.31.65.25,-1
172.31.65.27,0
172.31.65.39,-1
172.31.65.55,0
172.31.65.9,0
172.31.65.90,0
172.31.66.120,0
172.31.66.49,0
172.31.66.57,0
172.31.66.77,0
172.31.66.81,0
172.31.66.85,0
172.31.66.98,0
172.31.67.109,0
172.31.67.58,0
172.31.67.70,0
172.31.67.76,0
172.31.68.18,0
172.31.68.19,0
172.31.68.6,0
172.31.69.12,0
172.31.0.2,-1
172.31.64.107,0
172.31.64.127,0
172.31.64.70,0
172.31.64.74,0
172.31.64.81,0
172.31.64.83,0
172.31.65.56,0
172.31.65.6,0
172.31.65.86,0
172.31.65.98,0
172.31.66.119,0
172.31.66.122,0
172.31.66.53,0
172.31.66.62,0
172.31.66.63,0
172.31.67.100,0
172.31.67.111,0
172.31.67.31,0
172.31.67.37,0
172.31.67.50,0
172.31.67.61,0
172.31.67.62,0
172.31.67.75,0
172.31.67.86,0
172.31.68.20,0
172.31.68.21,0
172.31.69.16,0
172.31.69.25,-1
172.31.69.28,0
