,cluster_agglomerative
1.160.162.253,2
1.162.30.190,2
1.168.28.155,3
1.168.67.215,3
1.169.120.52,3
1.179.190.36,2
1.4.130.157,3
1.50.217.139,2
1.52.98.76,3
1.55.177.219,2
1.55.182.92,3
1.55.209.13,3
1.55.249.116,3
100.43.85.181,2
101.109.197.123,3
101.204.228.38,2
101.255.64.210,3
101.51.115.17,3
101.51.172.197,3
101.51.43.156,3
101.78.227.226,2
101.80.111.96,2
101.99.15.115,6
103.103.121.218,2
103.103.68.9,3
103.104.34.10,3
103.14.245.12,2
103.19.169.220,3
103.198.52.6,3
103.199.37.152,3
103.211.50.2,2
103.219.12.77,3
103.219.69.186,3
103.225.93.13,3
103.230.123.138,3
103.231.189.232,2
103.237.175.114,3
103.238.68.57,3
103.242.110.18,3
103.244.1.54,2
103.248.196.34,3
103.248.248.210,3
103.26.247.254,2
103.30.141.212,6
103.30.222.158,2
103.37.29.170,3
103.47.57.2,3
103.5.183.42,3
103.5.25.75,3
103.5.47.70,2
103.5.47.78,2
103.5.47.79,2
103.55.146.137,3
103.55.184.7,3
103.6.146.130,3
103.60.172.10,2
103.60.172.186,3
103.69.8.2,6
103.70.45.137,2
103.71.96.195,2
103.81.12.42,3
103.84.38.100,3
103.85.224.166,3
103.85.98.173,3
103.86.130.111,2
103.86.42.72,2
103.9.90.2,3
103.94.84.71,2
103.98.158.7,2
104.107.50.171,2
104.118.6.128,2
104.121.156.203,2
104.152.169.38,2
104.152.185.223,3
104.152.185.251,3
104.152.208.253,3
104.152.208.41,6
104.152.208.62,3
104.152.209.121,3
104.152.210.17,2
104.152.210.27,3
104.154.95.239,2
104.16.117.12,2
104.16.124.175,2
104.16.18.13,2
104.16.204.165,2
104.16.205.165,2
104.16.206.165,2
104.16.207.165,2
104.16.208.165,2
104.16.229.27,2
104.16.32.27,2
104.16.58.5,2
104.16.83.55,2
104.16.84.55,2
104.16.85.20,2
104.16.86.20,2
104.16.87.20,2
104.16.88.20,2
104.16.89.20,2
104.160.64.9,2
104.17.168.182,2
104.17.169.182,2
104.17.201.123,2
104.17.244.188,2
104.17.80.191,2
104.18.36.50,2
104.18.37.50,2
104.19.192.102,2
104.19.193.102,2
104.19.194.102,2
104.19.195.102,2
104.19.196.102,2
104.192.142.44,2
104.193.74.191,2
104.193.82.52,2
104.20.116.11,2
104.20.117.11,2
104.20.15.243,2
104.20.151.16,2
104.20.16.243,2
104.20.2.40,2
104.20.222.36,2
104.20.223.36,2
104.20.30.2,2
104.20.31.2,2
104.20.38.14,2
104.20.39.14,2
104.20.52.8,2
104.20.62.188,2
104.20.63.168,2
104.20.63.188,2
104.20.64.168,2
104.20.80.244,2
104.20.94.73,2
104.20.95.73,2
104.208.232.49,2
104.210.149.182,2
104.216.145.22,2
104.216.96.156,3
104.236.143.191,2
104.238.184.122,3
104.24.110.133,2
104.24.111.169,2
104.24.2.77,2
104.24.30.32,2
104.244.42.65,2
104.244.43.112,2
104.244.43.113,2
104.244.43.144,2
104.244.43.16,2
104.244.43.17,2
104.244.43.176,2
104.244.43.48,2
104.244.43.80,2
104.244.46.135,2
104.244.46.199,2
104.244.46.231,2
104.244.46.7,2
104.244.46.71,2
104.25.135.37,2
104.25.136.37,2
104.27.170.98,2
104.27.171.98,2
104.27.180.197,2
104.27.181.197,2
104.28.20.184,2
104.28.21.184,2
104.31.84.81,2
104.31.85.81,2
104.67.85.151,2
104.67.87.96,2
104.67.89.115,2
104.86.80.239,2
104.86.87.161,2
104.91.38.127,2
105.112.88.66,6
105.228.94.188,3
106.2.36.141,6
106.2.89.52,3
106.223.156.97,3
106.223.85.110,3
106.51.106.152,2
106.51.127.54,3
106.51.16.225,3
106.51.177.220,3
106.51.28.41,6
106.67.24.128,3
106.84.154.147,2
107.152.3.101,2
107.160.254.162,2
107.170.229.27,2
107.175.89.198,3
107.178.240.89,2
107.178.254.65,2
107.181.174.130,2
107.20.135.198,2
107.20.162.225,2
107.20.164.115,2
107.20.177.212,2
107.20.189.177,2
107.20.216.34,2
107.21.111.191,2
107.21.205.62,2
107.21.232.68,2
107.21.40.148,2
107.217.94.48,2
107.22.182.161,2
107.22.185.72,2
107.22.226.112,2
107.22.227.142,2
107.22.243.68,2
107.23.151.76,2
107.23.60.106,2
107.23.92.66,2
107.23.95.151,2
108.161.140.98,3
108.161.188.192,2
108.161.189.121,2
108.168.172.162,2
108.174.10.14,2
108.174.10.19,2
108.174.11.1,2
108.175.2.252,2
108.175.3.79,3
108.177.98.103,2
108.177.98.104,2
108.177.98.105,2
108.177.98.106,2
108.177.98.147,2
108.177.98.99,2
108.199.26.226,2
108.21.232.91,2
108.29.208.120,3
108.43.233.37,2
109.110.12.150,2
109.111.25.147,2
109.166.89.187,3
109.177.147.154,3
109.184.175.251,6
109.188.66.85,3
109.195.54.147,2
109.199.125.97,2
109.201.152.18,2
109.202.0.226,3
109.227.219.198,3
109.228.28.18,2
109.230.76.226,3
109.236.89.133,2
109.238.238.30,6
109.26.235.185,3
109.75.43.195,3
109.87.125.118,3
109.95.229.123,3
109.95.50.47,3
110.136.118.242,3
110.136.46.123,3
110.136.55.165,3
110.137.153.91,3
110.137.19.248,3
110.137.204.1,3
110.138.149.185,3
110.138.155.123,3
110.139.203.209,3
110.152.236.140,2
110.251.246.219,2
110.34.13.4,2
110.36.172.116,2
110.67.91.131,3
110.77.131.70,2
110.77.168.122,6
110.77.237.48,3
110.9.175.177,3
110.9.175.206,3
111.15.169.192,2
111.15.36.240,2
111.221.29.254,2
111.23.105.74,2
111.240.22.172,3
111.246.20.228,2
111.251.106.123,6
111.251.41.151,3
111.252.203.39,3
111.253.21.186,3
111.254.219.243,3
111.255.125.52,3
111.41.168.110,2
111.41.189.237,2
111.68.102.20,3
111.8.235.115,2
111.90.185.228,6
111.93.139.195,3
111.93.186.194,3
111.93.230.82,3
112.116.28.12,2
112.133.231.57,3
112.133.244.103,2
112.197.16.50,3
112.200.109.40,3
112.210.153.119,3
112.215.200.39,3
112.24.72.72,2
112.3.132.11,2
112.38.108.197,2
