,cluster_dbscan
1.160.162.253,0
1.162.30.190,0
1.168.28.155,0
1.168.67.215,0
1.169.120.52,0
1.179.190.36,0
1.4.130.157,0
1.50.217.139,0
1.52.98.76,0
1.55.177.219,0
1.55.182.92,0
1.55.209.13,0
1.55.249.116,0
100.43.85.181,0
101.109.197.123,0
101.204.228.38,0
101.255.64.210,0
101.51.115.17,0
101.51.172.197,0
101.51.43.156,0
101.78.227.226,0
101.80.111.96,0
101.99.15.115,0
103.103.121.218,0
103.103.68.9,0
103.104.34.10,0
103.14.245.12,0
103.19.169.220,0
103.198.52.6,0
103.199.37.152,0
103.211.50.2,0
103.219.12.77,0
103.219.69.186,0
103.225.93.13,0
103.230.123.138,0
103.231.189.232,0
103.237.175.114,0
103.238.68.57,0
103.242.110.18,0
103.244.1.54,0
103.248.196.34,0
103.248.248.210,0
103.26.247.254,0
103.30.141.212,0
103.30.222.158,0
103.37.29.170,0
103.47.57.2,0
103.5.183.42,0
103.5.25.75,0
103.5.47.70,0
103.5.47.78,0
103.5.47.79,0
103.55.146.137,0
103.55.184.7,0
103.6.146.130,0
103.60.172.10,0
103.60.172.186,0
103.69.8.2,0
103.70.45.137,0
103.71.96.195,0
103.81.12.42,0
103.84.38.100,0
103.85.224.166,0
103.85.98.173,0
103.86.130.111,0
103.86.42.72,0
103.9.90.2,0
103.94.84.71,0
103.98.158.7,0
104.107.50.171,0
104.118.6.128,0
104.121.156.203,0
104.152.169.38,0
104.152.185.223,0
104.152.185.251,0
104.152.208.253,0
104.152.208.41,0
104.152.208.62,0
104.152.209.121,0
104.152.210.17,0
104.152.210.27,0
104.154.95.239,0
104.16.117.12,0
104.16.124.175,0
104.16.18.13,0
104.16.204.165,0
104.16.205.165,0
104.16.206.165,0
104.16.207.165,0
104.16.208.165,0
104.16.229.27,0
104.16.32.27,0
104.16.58.5,0
104.16.83.55,0
104.16.84.55,0
104.16.85.20,0
104.16.86.20,0
104.16.87.20,0
104.16.88.20,0
104.16.89.20,0
104.160.64.9,0
104.17.168.182,0
104.17.169.182,0
104.17.201.123,0
104.17.244.188,0
104.17.80.191,0
104.18.36.50,0
104.18.37.50,0
104.19.192.102,0
104.19.193.102,0
104.19.194.102,0
104.19.195.102,0
104.19.196.102,0
104.192.142.44,0
104.193.74.191,0
104.193.82.52,0
104.20.116.11,0
104.20.117.11,0
104.20.15.243,0
104.20.151.16,0
104.20.16.243,0
104.20.2.40,0
104.20.222.36,0
104.20.223.36,0
104.20.30.2,0
104.20.31.2,0
104.20.38.14,0
104.20.39.14,0
104.20.52.8,0
104.20.62.188,0
104.20.63.168,0
104.20.63.188,0
104.20.64.168,0
104.20.80.244,0
104.20.94.73,0
104.20.95.73,0
104.208.232.49,0
104.210.149.182,0
104.216.145.22,0
104.216.96.156,0
104.236.143.191,0
104.238.184.122,0
104.24.110.133,0
104.24.111.169,0
104.24.2.77,0
104.24.30.32,0
104.244.42.65,0
104.244.43.112,0
104.244.43.113,0
104.244.43.144,0
104.244.43.16,0
104.244.43.17,0
104.244.43.176,0
104.244.43.48,0
104.244.43.80,0
104.244.46.135,0
104.244.46.199,0
104.244.46.231,0
104.244.46.7,0
104.244.46.71,0
104.25.135.37,0
104.25.136.37,0
104.27.170.98,0
104.27.171.98,0
104.27.180.197,0
104.27.181.197,0
104.28.20.184,0
104.28.21.184,0
104.31.84.81,0
104.31.85.81,0
104.67.85.151,0
104.67.87.96,0
104.67.89.115,0
104.86.80.239,0
104.86.87.161,0
104.91.38.127,0
105.112.88.66,0
105.228.94.188,0
106.2.36.141,0
106.2.89.52,0
106.223.156.97,0
106.223.85.110,0
106.51.106.152,0
106.51.127.54,0
106.51.16.225,0
106.51.177.220,0
106.51.28.41,0
106.67.24.128,0
106.84.154.147,0
107.152.3.101,0
107.160.254.162,0
107.170.229.27,0
107.175.89.198,0
107.178.240.89,0
107.178.254.65,0
107.181.174.130,0
107.20.135.198,0
107.20.162.225,0
107.20.164.115,0
107.20.177.212,0
107.20.189.177,0
107.20.216.34,0
107.21.111.191,0
107.21.205.62,0
107.21.232.68,0
107.21.40.148,0
107.217.94.48,0
107.22.182.161,0
107.22.185.72,0
107.22.226.112,0
107.22.227.142,0
107.22.243.68,0
107.23.151.76,0
107.23.60.106,0
107.23.92.66,0
107.23.95.151,0
108.161.140.98,0
108.161.188.192,0
108.161.189.121,0
108.168.172.162,0
108.174.10.14,0
108.174.10.19,0
108.174.11.1,0
108.175.2.252,0
108.175.3.79,0
108.177.98.103,0
108.177.98.104,0
108.177.98.105,0
108.177.98.106,0
108.177.98.147,0
108.177.98.99,0
108.199.26.226,0
108.21.232.91,0
108.29.208.120,0
108.43.233.37,0
109.110.12.150,0
109.111.25.147,0
109.166.89.187,0
109.177.147.154,0
109.184.175.251,0
109.188.66.85,0
109.195.54.147,0
109.199.125.97,0
109.201.152.18,0
109.202.0.226,0
109.227.219.198,0
109.228.28.18,0
109.230.76.226,0
109.236.89.133,0
109.238.238.30,0
109.26.235.185,0
109.75.43.195,0
109.87.125.118,0
109.95.229.123,0
109.95.50.47,0
110.136.118.242,0
110.136.46.123,0
110.136.55.165,0
110.137.153.91,0
110.137.19.248,0
110.137.204.1,0
110.138.149.185,0
110.138.155.123,0
110.139.203.209,0
110.152.236.140,0
110.251.246.219,0
110.34.13.4,0
110.36.172.116,0
110.67.91.131,0
110.77.131.70,0
110.77.168.122,0
110.77.237.48,0
110.9.175.177,0
110.9.175.206,0
111.15.169.192,0
111.15.36.240,0
111.221.29.254,0
111.23.105.74,0
111.240.22.172,0
111.246.20.228,0
111.251.106.123,0
111.251.41.151,0
111.252.203.39,0
111.253.21.186,0
111.254.219.243,0
111.255.125.52,0
111.41.168.110,0
111.41.189.237,0
111.68.102.20,0
111.8.235.115,0
111.90.185.228,0
111.93.139.195,0
111.93.186.194,0
111.93.230.82,0
112.116.28.12,0
112.133.231.57,0
112.133.244.103,0
112.197.16.50,0
112.200.109.40,0
112.210.153.119,0
112.215.200.39,0
112.24.72.72,0
112.3.132.11,0
112.38.108.197,0
112.38.192.118,0
112.39.143.167,0
112.39.9.205,0
112.41.15.231,0
112.41.9.48,0
113.11.44.15,0
113.142.176.168,0
113.160.100.131,0
113.160.141.58,0
113.160.180.137,0
113.160.181.58,0
113.160.245.20,0
113.160.3.30,0
113.160.66.210,0
113.160.94.70,0
113.161.163.212,0
113.161.18.121,0
113.161.196.10,0
113.161.61.21,0
113.161.67.190,0
113.161.78.230,0
113.161.79.152,0
113.167.46.230,0
113.168.213.247,0
113.176.13.188,0
113.180.19.126,0
113.186.97.39,0
113.188.70.68,0
113.190.160.86,0
113.190.18.116,0
113.190.235.70,0
113.23.55.73,0
113.255.160.111,0
113.26.253.229,0
113.64.135.49,0
113.84.237.190,0
114.142.173.61,0
114.24.101.253,0
114.26.232.12,0
114.27.45.72,0
114.36.177.38,0
114.36.193.55,0
114.36.222.253,0
114.37.217.54,0
114.4.140.246,0
114.40.49.115,0
114.42.136.130,0
114.42.57.12,0
114.43.202.55,0
114.45.60.57,0
114.46.105.135,0
114.46.53.182,0
114.46.74.232,0
114.46.93.235,0
114.6.182.178,0
114.80.12.43,0
115.114.125.146,0
115.114.69.98,0
115.127.30.26,0
115.162.98.2,0
115.178.237.17,0
115.178.237.170,0
115.186.179.38,0
115.228.247.94,0
115.231.162.246,0
115.238.245.6,0
115.42.252.218,0
115.51.57.213,0
116.107.58.68,0
116.108.72.23,0
116.11.32.121,0
116.111.148.211,0
116.111.168.112,0
116.196.15.138,0
116.206.14.120,0
116.212.150.85,0
116.212.49.36,0
116.212.50.58,0
116.212.63.3,0
116.224.184.108,0
116.224.88.132,0
116.29.10.162,0
116.66.203.112,0
116.93.38.123,0
116.96.54.89,0
117.0.207.70,0
117.102.85.162,0
117.120.4.115,0
117.132.57.93,0
117.153.115.63,0
117.167.36.219,0
117.179.254.88,0
117.193.36.24,0
117.194.125.143,0
117.201.100.231,0
117.201.121.241,0
117.202.14.186,0
117.205.107.24,0
117.214.13.82,0
117.239.5.129,0
117.239.51.81,0
117.240.231.201,0
