,cluster_agglomerative
172.31.64.100,2
172.31.64.101,9
172.31.64.103,4
172.31.64.104,2
172.31.64.106,2
172.31.64.107,1
172.31.64.108,5
172.31.64.109,1
172.31.64.11,8
172.31.64.110,9
172.31.64.111,0
172.31.64.112,2
172.31.64.113,1
172.31.64.114,1
172.31.64.115,0
172.31.64.116,0
172.31.64.117,3
172.31.64.118,7
172.31.64.119,1
172.31.64.12,2
172.31.64.120,1
172.31.64.121,1
172.31.64.122,7
172.31.64.123,1
172.31.64.124,1
172.31.64.125,3
172.31.64.126,0
172.31.64.13,4
172.31.64.14,2
172.31.64.15,0
172.31.64.16,1
172.31.64.18,0
172.31.64.19,3
172.31.64.20,1
172.31.64.21,1
172.31.64.23,2
172.31.64.24,1
172.31.64.26,0
172.31.64.27,1
172.31.64.28,1
172.31.64.29,9
172.31.64.31,0
172.31.64.32,1
172.31.64.33,1
172.31.64.34,2
172.31.64.35,0
172.31.64.36,1
172.31.64.37,1
172.31.64.38,0
172.31.64.39,1
172.31.64.4,1
172.31.64.40,1
172.31.64.41,1
172.31.64.42,1
172.31.64.44,1
172.31.64.45,2
172.31.64.46,0
172.31.64.47,1
172.31.64.48,1
172.31.64.49,1
172.31.64.51,8
172.31.64.52,4
172.31.64.54,0
172.31.64.57,3
172.31.64.58,1
172.31.64.60,2
172.31.64.61,2
172.31.64.63,0
172.31.64.64,1
172.31.64.65,0
172.31.64.67,0
172.31.64.68,8
172.31.64.69,1
172.31.64.7,9
172.31.64.70,1
172.31.64.71,0
172.31.64.72,1
172.31.64.73,1
172.31.64.74,1
172.31.64.75,0
172.31.64.76,0
172.31.64.77,1
172.31.64.78,2
172.31.64.79,2
172.31.64.8,2
172.31.64.80,2
172.31.64.81,1
172.31.64.83,3
172.31.64.84,0
172.31.64.85,1
172.31.64.86,2
172.31.64.87,1
172.31.64.88,2
172.31.64.89,3
172.31.64.91,1
172.31.64.92,1
172.31.64.93,2
172.31.64.94,8
172.31.64.95,7
172.31.64.96,2
172.31.64.97,1
172.31.64.98,2
172.31.64.99,3
172.31.65.10,0
172.31.65.100,1
172.31.65.103,2
172.31.65.104,2
172.31.65.105,3
172.31.65.107,1
172.31.65.108,2
172.31.65.109,4
172.31.65.11,1
172.31.65.112,1
172.31.65.113,7
172.31.65.114,8
172.31.65.115,1
172.31.65.116,2
172.31.65.117,4
172.31.65.118,9
172.31.65.119,1
172.31.65.121,1
172.31.65.122,1
172.31.65.123,7
172.31.65.124,0
172.31.65.125,2
172.31.65.126,7
172.31.65.13,2
172.31.65.14,0
172.31.65.16,0
172.31.65.17,2
172.31.65.18,1
172.31.65.19,1
172.31.65.20,1
172.31.65.21,3
172.31.65.23,1
172.31.65.24,1
172.31.65.25,3
172.31.65.27,5
172.31.65.28,0
172.31.65.29,0
172.31.65.30,4
172.31.65.32,1
172.31.65.33,1
172.31.65.34,0
172.31.65.35,1
172.31.65.36,1
172.31.65.37,1
172.31.65.38,2
172.31.65.39,5
172.31.65.40,0
172.31.65.41,4
172.31.65.42,3
172.31.65.43,1
172.31.65.44,1
172.31.65.45,3
172.31.65.46,1
172.31.65.47,2
172.31.65.48,3
172.31.65.49,1
172.31.65.5,1
172.31.65.51,2
172.31.65.52,2
172.31.65.55,1
172.31.65.56,0
172.31.65.57,1
172.31.65.58,1
172.31.65.59,1
172.31.65.6,4
172.31.65.61,1
172.31.65.64,1
172.31.65.65,1
172.31.65.67,1
172.31.65.68,4
172.31.65.69,2
172.31.65.70,2
172.31.65.71,1
172.31.65.72,2
172.31.65.73,2
172.31.65.75,9
172.31.65.77,3
172.31.65.78,1
172.31.65.79,1
172.31.65.8,3
172.31.65.80,2
172.31.65.81,0
172.31.65.82,1
172.31.65.83,3
172.31.65.84,1
172.31.65.85,1
172.31.65.86,7
172.31.65.87,1
172.31.65.88,0
172.31.65.89,1
172.31.65.9,2
172.31.65.90,2
172.31.65.91,2
172.31.65.93,2
172.31.65.96,1
172.31.65.98,1
172.31.65.99,1
172.31.66.10,1
172.31.66.101,5
172.31.66.102,1
172.31.66.103,7
172.31.66.105,1
172.31.66.107,1
172.31.66.108,1
172.31.66.109,3
172.31.66.11,1
172.31.66.110,2
172.31.66.111,4
172.31.66.112,0
172.31.66.113,2
172.31.66.114,1
172.31.66.115,7
172.31.66.116,9
172.31.66.118,1
172.31.66.119,1
172.31.66.12,1
172.31.66.120,0
172.31.66.121,1
172.31.66.122,9
172.31.66.123,0
172.31.66.124,1
172.31.66.13,2
172.31.66.14,1
172.31.66.15,3
172.31.66.16,2
172.31.66.17,2
172.31.66.19,1
172.31.66.20,1
172.31.66.21,8
172.31.66.22,3
172.31.66.24,1
172.31.66.25,1
172.31.66.26,5
172.31.66.28,1
172.31.66.29,3
172.31.66.34,1
172.31.66.35,1
172.31.66.37,1
172.31.66.38,4
172.31.66.40,9
172.31.66.41,7
172.31.66.42,7
172.31.66.43,0
172.31.66.44,2
172.31.66.46,3
172.31.66.48,4
172.31.66.49,0
172.31.66.5,5
172.31.66.50,8
172.31.66.51,1
172.31.66.53,8
172.31.66.54,0
172.31.66.55,1
172.31.66.56,2
172.31.66.57,2
172.31.66.58,3
172.31.66.60,1
172.31.66.61,9
172.31.66.62,3
172.31.66.63,0
172.31.66.64,1
172.31.66.65,1
172.31.66.66,1
172.31.66.68,4
172.31.66.69,1
172.31.66.7,1
172.31.66.70,4
172.31.66.71,8
172.31.66.72,0
172.31.66.73,1
172.31.66.74,1
172.31.66.75,9
172.31.66.77,2
172.31.66.78,1
172.31.66.79,2
172.31.66.8,5
172.31.66.80,1
172.31.66.81,2
172.31.66.82,7
172.31.66.83,1
172.31.66.84,1
172.31.66.85,0
172.31.66.86,8
172.31.66.87,1
172.31.66.89,2
172.31.66.9,0
172.31.66.90,1
172.31.66.91,9
172.31.66.92,1
172.31.66.94,5
172.31.66.95,5
172.31.66.96,2
172.31.66.97,1
172.31.66.98,4
172.31.66.99,3
172.31.67.10,0
172.31.67.100,1
172.31.67.101,5
172.31.67.102,5
172.31.67.104,1
172.31.67.105,1
172.31.67.107,1
172.31.67.108,2
172.31.67.109,5
172.31.67.111,3
172.31.67.112,2
172.31.67.113,1
172.31.67.114,1
172.31.67.115,1
172.31.67.116,0
172.31.67.117,1
172.31.67.118,2
172.31.67.12,1
172.31.67.120,8
172.31.67.121,3
172.31.67.122,1
172.31.67.123,1
172.31.67.124,3
172.31.67.125,0
172.31.67.126,1
172.31.67.13,0
172.31.67.14,1
172.31.67.15,7
172.31.67.16,2
172.31.67.17,1
172.31.67.18,2
172.31.67.19,1
172.31.67.20,1
172.31.67.21,3
172.31.67.22,1
172.31.67.23,4
172.31.67.24,1
172.31.67.26,2
172.31.67.27,2
172.31.67.29,2
172.31.67.30,1
172.31.67.31,1
172.31.67.33,1
172.31.67.34,8
172.31.67.35,2
172.31.67.37,1
172.31.67.38,5
172.31.67.4,3
172.31.67.40,1
172.31.67.41,0
172.31.67.42,1
172.31.67.45,1
172.31.67.47,1
172.31.67.48,4
172.31.67.50,0
172.31.67.52,2
172.31.67.53,1
172.31.67.54,7
172.31.67.56,2
172.31.67.57,2
172.31.67.58,9
172.31.67.59,1
172.31.67.6,1
172.31.67.60,1
172.31.67.61,5
172.31.67.62,8
172.31.67.63,5
172.31.67.64,1
172.31.67.66,1
172.31.67.67,1
172.31.67.7,2
172.31.67.70,1
172.31.67.71,1
172.31.67.72,1
172.31.67.73,5
172.31.67.75,1
172.31.67.76,5
172.31.67.77,5
172.31.67.78,5
172.31.67.8,1
172.31.67.80,0
172.31.67.81,0
172.31.67.82,7
172.31.67.83,2
172.31.67.86,0
172.31.67.89,2
172.31.67.9,1
172.31.67.91,9
172.31.67.92,2
172.31.67.93,1
172.31.67.94,0
172.31.67.95,2
172.31.67.96,1
172.31.67.97,1
172.31.67.98,2
172.31.67.99,1
172.31.68.10,1
172.31.68.11,8
172.31.68.12,4
172.31.68.13,2
172.31.68.14,2
172.31.68.15,2
172.31.68.18,1
172.31.68.19,1
172.31.68.20,2
172.31.68.21,9
172.31.68.23,1
172.31.68.25,2
172.31.68.26,1
172.31.68.28,4
172.31.68.30,5
172.31.68.4,1
172.31.68.5,2
172.31.68.6,1
172.31.68.8,2
172.31.68.9,2
172.31.69.10,1
172.31.69.11,2
172.31.69.12,1
172.31.69.13,1
172.31.69.14,2
172.31.69.16,1
172.31.69.17,2
172.31.69.18,6
172.31.69.19,8
172.31.69.20,1
172.31.69.21,6
172.31.69.22,6
172.31.69.23,4
172.31.69.24,2
172.31.69.25,6
172.31.69.26,1
172.31.69.27,6
172.31.69.28,1
172.31.69.29,2
172.31.69.30,9
172.31.69.4,8
172.31.69.5,5
172.31.69.6,3
172.31.69.7,6
172.31.69.8,1
172.31.69.9,1
172.31.0.2,3
172.31.64.1,3
172.31.64.127,3
172.31.65.1,3
172.31.65.127,3
172.31.66.1,3
172.31.66.127,3
172.31.67.1,3
172.31.67.127,3
172.31.68.1,3
172.31.69.1,3
