,cluster_dbscan
172.31.0.2,-1
172.31.64.100,0
172.31.64.101,0
172.31.64.103,0
172.31.64.104,0
172.31.64.106,0
172.31.64.107,0
172.31.64.108,0
172.31.64.109,0
172.31.64.11,0
172.31.64.110,0
172.31.64.111,0
172.31.64.112,0
172.31.64.113,0
172.31.64.114,0
172.31.64.115,0
172.31.64.116,0
172.31.64.117,0
172.31.64.118,0
172.31.64.119,0
172.31.64.12,0
172.31.64.120,0
172.31.64.121,0
172.31.64.123,0
172.31.64.124,0
172.31.64.125,0
172.31.64.126,0
172.31.64.13,0
172.31.64.14,0
172.31.64.15,0
172.31.64.16,0
172.31.64.18,0
172.31.64.19,0
172.31.64.20,0
172.31.64.21,0
172.31.64.23,0
172.31.64.24,0
172.31.64.26,0
172.31.64.27,0
172.31.64.28,0
172.31.64.29,0
172.31.64.31,0
172.31.64.32,0
172.31.64.33,0
172.31.64.34,0
172.31.64.35,0
172.31.64.36,0
172.31.64.37,0
172.31.64.38,0
172.31.64.39,0
172.31.64.4,0
172.31.64.40,0
172.31.64.41,0
172.31.64.42,0
172.31.64.44,0
172.31.64.45,0
172.31.64.46,0
172.31.64.47,0
172.31.64.48,0
172.31.64.49,0
172.31.64.51,0
172.31.64.52,0
172.31.64.54,0
172.31.64.57,0
172.31.64.58,0
172.31.64.60,0
172.31.64.61,0
172.31.64.63,0
172.31.64.64,0
172.31.64.65,0
172.31.64.67,0
172.31.64.68,0
172.31.64.69,0
172.31.64.7,0
172.31.64.70,0
172.31.64.71,0
172.31.64.72,0
172.31.64.73,0
172.31.64.74,0
172.31.64.75,0
172.31.64.76,0
172.31.64.77,0
172.31.64.78,0
172.31.64.79,0
172.31.64.8,0
172.31.64.80,0
172.31.64.81,0
172.31.64.83,0
172.31.64.85,0
172.31.64.86,0
172.31.64.87,0
172.31.64.88,0
172.31.64.89,0
172.31.64.91,0
172.31.64.92,0
172.31.64.93,0
172.31.64.94,0
172.31.64.95,0
172.31.64.96,0
172.31.64.97,0
172.31.64.98,0
172.31.64.99,0
172.31.65.10,0
172.31.65.100,0
172.31.65.103,0
172.31.65.104,0
172.31.65.105,0
172.31.65.107,0
172.31.65.108,0
172.31.65.109,0
172.31.65.11,0
172.31.65.112,0
172.31.65.113,0
172.31.65.114,0
172.31.65.115,0
172.31.65.116,0
172.31.65.117,0
172.31.65.118,0
172.31.65.119,0
172.31.65.121,0
172.31.65.122,0
172.31.65.123,0
172.31.65.124,0
172.31.65.125,0
172.31.65.126,0
172.31.65.13,0
172.31.65.14,0
172.31.65.16,0
172.31.65.17,0
172.31.65.18,0
172.31.65.19,0
172.31.65.20,0
172.31.65.21,0
172.31.65.23,0
172.31.65.24,0
172.31.65.25,0
172.31.65.27,0
172.31.65.28,0
172.31.65.29,0
172.31.65.30,0
172.31.65.32,0
172.31.65.33,0
172.31.65.35,0
172.31.65.36,0
172.31.65.37,0
172.31.65.38,0
172.31.65.39,0
172.31.65.40,0
172.31.65.41,0
172.31.65.42,0
172.31.65.43,0
172.31.65.44,0
172.31.65.45,0
172.31.65.46,0
172.31.65.47,0
172.31.65.48,0
172.31.65.49,0
172.31.65.5,0
172.31.65.51,0
172.31.65.52,0
172.31.65.55,0
172.31.65.56,0
172.31.65.57,0
172.31.65.58,0
172.31.65.59,0
172.31.65.6,0
172.31.65.61,0
172.31.65.64,0
172.31.65.65,0
172.31.65.67,0
172.31.65.68,0
172.31.65.69,0
172.31.65.70,0
172.31.65.71,0
172.31.65.72,0
172.31.65.73,0
172.31.65.75,0
172.31.65.77,0
172.31.65.78,0
172.31.65.79,0
172.31.65.8,0
172.31.65.80,0
172.31.65.81,0
172.31.65.82,0
172.31.65.83,0
172.31.65.84,0
172.31.65.85,0
172.31.65.86,0
172.31.65.87,0
172.31.65.88,0
172.31.65.89,0
172.31.65.9,0
172.31.65.90,0
172.31.65.91,0
172.31.65.93,0
172.31.65.96,0
172.31.65.98,0
172.31.65.99,0
172.31.66.10,0
172.31.66.101,0
172.31.66.102,0
172.31.66.103,0
172.31.66.105,0
172.31.66.107,0
172.31.66.108,0
172.31.66.109,0
