,cluster_kmeans
1.10.209.197,2
1.160.97.51,2
1.162.30.190,2
1.168.28.155,2
1.168.67.215,0
1.168.93.146,2
1.172.177.131,0
1.172.177.76,0
1.194.20.6,2
1.4.130.157,2
1.4.237.246,2
1.53.43.90,2
1.54.229.218,0
1.55.177.219,0
1.55.182.92,2
100.32.201.162,6
100.43.90.110,6
100.43.91.115,6
101.109.250.146,2
101.204.228.38,6
101.228.49.102,6
101.28.95.228,7
101.51.43.156,1
101.99.15.115,2
103.103.121.218,0
103.104.34.10,0
103.11.97.252,2
103.199.161.11,1
103.209.1.35,2
103.231.189.232,2
103.242.110.18,2
103.244.1.54,1
103.245.33.102,6
103.247.50.139,0
103.249.240.61,2
103.252.27.0,0
103.253.42.37,2
103.255.45.25,2
103.255.7.11,6
103.26.185.240,2
103.30.141.212,2
103.30.222.158,0
103.31.45.91,1
103.46.128.68,6
103.5.183.42,2
103.51.2.62,2
103.55.64.12,2
103.60.172.10,0
103.69.8.2,1
103.70.45.137,2
103.77.62.90,0
103.81.85.26,0
103.82.118.130,2
103.84.38.100,2
103.86.130.111,2
103.88.237.18,6
103.94.84.71,0
103.99.0.227,6
104.104.244.239,6
104.107.27.190,6
104.107.36.118,6
104.107.50.171,10
104.118.6.128,6
104.152.169.38,6
104.152.208.253,0
104.152.208.41,1
104.152.208.87,0
104.152.210.17,2
104.154.95.239,6
104.16.111.18,6
104.16.125.175,6
104.16.126.175,6
104.16.204.165,6
104.16.205.165,6
104.16.206.165,6
104.16.207.165,6
104.16.208.165,6
104.16.228.152,6
104.16.229.27,6
104.16.231.27,6
104.16.5.159,6
104.16.83.55,6
104.16.84.55,6
104.16.85.20,6
104.16.86.20,6
104.16.87.20,6
104.16.88.20,6
104.16.89.20,6
104.160.64.30,6
104.160.64.9,6
104.17.168.182,6
104.17.169.182,6
104.17.244.188,6
104.17.245.188,6
104.18.36.50,6
104.18.37.50,6
104.19.192.102,6
104.19.193.102,6
104.19.194.102,6
104.19.195.102,6
104.19.196.102,6
